
Root grid = 8 x 1 x 1 MeshBlocks
Total number of MeshBlocks = 8
Number of logical  levels of refinement = 3 (4 levels total)
Number of physical levels of refinement = 0 (1 levels total)
Number of parallel ranks = 1

Setup complete, executing task list(s)...

elapsed=2.993112e-01 cycle=58600 time=5.003257e+00 dt=8.970036e-05
elapsed=1.047471e+00 cycle=58700 time=5.012200e+00 dt=8.954139e-05
elapsed=1.796720e+00 cycle=58800 time=5.021146e+00 dt=8.926084e-05
elapsed=2.541459e+00 cycle=58900 time=5.030075e+00 dt=8.908563e-05
elapsed=3.268405e+00 cycle=59000 time=5.038783e+00 dt=8.598708e-05
elapsed=4.019633e+00 cycle=59100 time=5.047574e+00 dt=8.945765e-05
elapsed=4.770551e+00 cycle=59200 time=5.056742e+00 dt=9.286744e-05
elapsed=5.520890e+00 cycle=59300 time=5.066017e+00 dt=9.267270e-05
elapsed=6.279025e+00 cycle=59400 time=5.075224e+00 dt=9.042896e-05
elapsed=7.033406e+00 cycle=59500 time=5.084055e+00 dt=8.983169e-05
elapsed=7.790648e+00 cycle=59600 time=5.093080e+00 dt=8.981174e-05
elapsed=8.547931e+00 cycle=59700 time=5.101972e+00 dt=8.875759e-05
elapsed=9.312095e+00 cycle=59800 time=5.110929e+00 dt=8.941279e-05
elapsed=1.008310e+01 cycle=59900 time=5.119849e+00 dt=8.879509e-05
elapsed=1.085050e+01 cycle=60000 time=5.128716e+00 dt=8.852367e-05
elapsed=1.162288e+01 cycle=60100 time=5.137650e+00 dt=8.957918e-05
elapsed=1.239270e+01 cycle=60200 time=5.146682e+00 dt=9.114735e-05
elapsed=1.316767e+01 cycle=60300 time=5.155850e+00 dt=9.190905e-05
elapsed=1.394803e+01 cycle=60400 time=5.165016e+00 dt=9.157107e-05
elapsed=1.473031e+01 cycle=60500 time=5.174174e+00 dt=9.020717e-05
elapsed=1.551565e+01 cycle=60600 time=5.182799e+00 dt=8.390396e-05
