
Root grid = 2 x 1 x 1 MeshBlocks
Total number of MeshBlocks = 2
Number of logical  levels of refinement = 1 (2 levels total)
Number of physical levels of refinement = 0 (1 levels total)
Number of parallel ranks = 1

Setup complete, executing task list(s)...

elapsed=1.239535e+00 cycle=445 time=5.047601e+00 dt=1.200451e-02
elapsed=1.360209e+00 cycle=450 time=5.106942e+00 dt=1.164250e-02
elapsed=1.477865e+00 cycle=455 time=5.164719e+00 dt=1.126195e-02
elapsed=1.594898e+00 cycle=460 time=5.219891e+00 dt=1.075858e-02
elapsed=1.708016e+00 cycle=465 time=5.273212e+00 dt=1.062203e-02
elapsed=1.836554e+00 cycle=470 time=5.326990e+00 dt=1.091522e-02
elapsed=1.961039e+00 cycle=475 time=5.380482e+00 dt=1.040673e-02
elapsed=2.089664e+00 cycle=480 time=5.431427e+00 dt=9.832596e-03
elapsed=2.204382e+00 cycle=485 time=5.479401e+00 dt=9.228397e-03
elapsed=2.331872e+00 cycle=490 time=5.524295e+00 dt=8.643976e-03
elapsed=2.447880e+00 cycle=495 time=5.566660e+00 dt=8.259491e-03
elapsed=2.569242e+00 cycle=500 time=5.607631e+00 dt=8.148013e-03
elapsed=2.698253e+00 cycle=505 time=5.648413e+00 dt=8.169475e-03
elapsed=2.819663e+00 cycle=510 time=5.689252e+00 dt=8.166266e-03
elapsed=2.936124e+00 cycle=515 time=5.729857e+00 dt=8.056289e-03
elapsed=3.065605e+00 cycle=520 time=5.770014e+00 dt=7.975112e-03
elapsed=3.185091e+00 cycle=525 time=5.809812e+00 dt=7.954203e-03
elapsed=3.303093e+00 cycle=530 time=5.849613e+00 dt=7.967868e-03
elapsed=3.426642e+00 cycle=535 time=5.889459e+00 dt=7.970265e-03
elapsed=3.539579e+00 cycle=540 time=5.929320e+00 dt=7.974760e-03
elapsed=3.658638e+00 cycle=545 time=5.969196e+00 dt=7.975287e-03
elapsed=3.784974e+00 cycle=550 time=6.009070e+00 dt=7.974083e-03
