Authorization required, but no authorization protocol specified
Authorization required, but no authorization protocol specified

Root grid = 4 x 8 x 1 MeshBlocks
Total number of MeshBlocks = 32
Number of logical  levels of refinement = 3 (4 levels total)
Number of physical levels of refinement = 0 (1 levels total)
Number of parallel ranks = 16
  Rank = 0: 2 MeshBlocks, cost = 2
  Rank = 1: 2 MeshBlocks, cost = 2
  Rank = 2: 2 MeshBlocks, cost = 2
  Rank = 3: 2 MeshBlocks, cost = 2
  Rank = 4: 2 MeshBlocks, cost = 2
  Rank = 5: 2 MeshBlocks, cost = 2
  Rank = 6: 2 MeshBlocks, cost = 2
  Rank = 7: 2 MeshBlocks, cost = 2
  Rank = 8: 2 MeshBlocks, cost = 2
  Rank = 9: 2 MeshBlocks, cost = 2
  Rank = 10: 2 MeshBlocks, cost = 2
  Rank = 11: 2 MeshBlocks, cost = 2
  Rank = 12: 2 MeshBlocks, cost = 2
  Rank = 13: 2 MeshBlocks, cost = 2
  Rank = 14: 2 MeshBlocks, cost = 2
  Rank = 15: 2 MeshBlocks, cost = 2
Load Balancing:
  Maximum normalized cost = 1, Average = 1

Setup complete, executing task list(s)...

elapsed=2.094622e-02 cycle=0 time=0.000000e+00 dt=8.628850e-05
elapsed=2.138290e+00 cycle=100 time=8.603203e-03 dt=8.620110e-05
elapsed=4.376416e+00 cycle=200 time=1.722797e-02 dt=8.627508e-05
elapsed=5.880970e+00 cycle=300 time=2.585050e-02 dt=8.588205e-05
elapsed=7.387258e+00 cycle=400 time=3.445287e-02 dt=8.597744e-05
elapsed=8.896524e+00 cycle=500 time=4.300904e-02 dt=8.539054e-05
elapsed=1.040573e+01 cycle=600 time=5.152392e-02 dt=8.463728e-05
elapsed=1.191153e+01 cycle=700 time=5.996974e-02 dt=8.417787e-05
elapsed=1.342589e+01 cycle=800 time=6.835792e-02 dt=8.361008e-05
elapsed=1.494129e+01 cycle=900 time=7.671472e-02 dt=8.346194e-05
elapsed=1.645667e+01 cycle=1000 time=8.508212e-02 dt=8.365278e-05
elapsed=1.797346e+01 cycle=1100 time=9.331493e-02 dt=8.098268e-05
elapsed=1.949205e+01 cycle=1200 time=1.013989e-01 dt=8.078787e-05
elapsed=2.100651e+01 cycle=1300 time=1.094954e-01 dt=8.143333e-05
elapsed=2.252589e+01 cycle=1400 time=1.176379e-01 dt=8.143177e-05
elapsed=2.404881e+01 cycle=1500 time=1.257955e-01 dt=8.154197e-05
elapsed=2.556894e+01 cycle=1600 time=1.339271e-01 dt=8.116356e-05
elapsed=2.709042e+01 cycle=1700 time=1.420383e-01 dt=8.134892e-05
elapsed=2.861172e+01 cycle=1800 time=1.501123e-01 dt=8.007956e-05
elapsed=3.013096e+01 cycle=1900 time=1.580846e-01 dt=8.039962e-05
elapsed=3.165403e+01 cycle=2000 time=1.660845e-01 dt=7.946292e-05
elapsed=3.318058e+01 cycle=2100 time=1.739333e-01 dt=7.722315e-05
