
Root grid = 4 x 8 x 1 MeshBlocks
Total number of MeshBlocks = 32
Number of logical  levels of refinement = 3 (4 levels total)
Number of physical levels of refinement = 0 (1 levels total)
Number of parallel ranks = 1

Setup complete, executing task list(s)...

elapsed=2.378290e-02 cycle=0 time=0.000000e+00 dt=8.628850e-05
elapsed=3.423349e-01 cycle=100 time=8.603203e-03 dt=8.620110e-05
elapsed=6.734862e-01 cycle=200 time=1.722797e-02 dt=8.627508e-05
elapsed=1.004400e+00 cycle=300 time=2.585050e-02 dt=8.588205e-05
elapsed=1.333710e+00 cycle=400 time=3.445287e-02 dt=8.597744e-05
elapsed=1.662216e+00 cycle=500 time=4.300904e-02 dt=8.539054e-05
elapsed=1.991248e+00 cycle=600 time=5.152392e-02 dt=8.463728e-05
elapsed=2.306560e+00 cycle=700 time=5.996974e-02 dt=8.417787e-05
elapsed=2.635225e+00 cycle=800 time=6.835792e-02 dt=8.361008e-05
elapsed=2.964661e+00 cycle=900 time=7.671472e-02 dt=8.346194e-05
elapsed=3.293993e+00 cycle=1000 time=8.508212e-02 dt=8.365278e-05
elapsed=3.622309e+00 cycle=1100 time=9.331493e-02 dt=8.098268e-05
elapsed=3.950789e+00 cycle=1200 time=1.013989e-01 dt=8.078787e-05
elapsed=4.265357e+00 cycle=1300 time=1.094954e-01 dt=8.143333e-05
elapsed=4.593375e+00 cycle=1400 time=1.176379e-01 dt=8.143177e-05
elapsed=4.921878e+00 cycle=1500 time=1.257955e-01 dt=8.154197e-05
elapsed=5.250828e+00 cycle=1600 time=1.339271e-01 dt=8.116356e-05
elapsed=5.579456e+00 cycle=1700 time=1.420383e-01 dt=8.134892e-05
elapsed=5.908689e+00 cycle=1800 time=1.501123e-01 dt=8.007956e-05
elapsed=6.224249e+00 cycle=1900 time=1.580846e-01 dt=8.039962e-05
elapsed=6.553412e+00 cycle=2000 time=1.660845e-01 dt=7.946292e-05
elapsed=6.882119e+00 cycle=2100 time=1.739333e-01 dt=7.722315e-05
elapsed=7.211060e+00 cycle=2200 time=1.816927e-01 dt=7.779232e-05
elapsed=7.526363e+00 cycle=2300 time=1.895880e-01 dt=7.912034e-05
elapsed=7.854976e+00 cycle=2400 time=1.974383e-01 dt=7.885392e-05
elapsed=8.183679e+00 cycle=2500 time=2.053483e-01 dt=7.918963e-05
elapsed=8.511963e+00 cycle=2600 time=2.132982e-01 dt=7.970605e-05
