
Root grid = 4 x 8 x 1 MeshBlocks
Total number of MeshBlocks = 32
Number of logical  levels of refinement = 3 (4 levels total)
Number of physical levels of refinement = 0 (1 levels total)
Number of parallel ranks = 1

Setup complete, executing task list(s)...

elapsed=2.227486e-01 cycle=0 time=0.000000e+00 dt=4.314425e-05
elapsed=3.606012e+00 cycle=100 time=4.305177e-03 dt=4.298277e-05
elapsed=6.984725e+00 cycle=200 time=8.598621e-03 dt=4.294114e-05
elapsed=1.047810e+01 cycle=300 time=1.289905e-02 dt=4.306519e-05
elapsed=1.384945e+01 cycle=400 time=1.720808e-02 dt=4.310574e-05
elapsed=1.735181e+01 cycle=500 time=2.151942e-02 dt=4.311980e-05
elapsed=2.074574e+01 cycle=600 time=2.583185e-02 dt=4.312846e-05
elapsed=2.425367e+01 cycle=700 time=3.014505e-02 dt=4.313524e-05
elapsed=2.763710e+01 cycle=800 time=3.445876e-02 dt=4.313870e-05
elapsed=3.101015e+01 cycle=900 time=3.877271e-02 dt=4.313937e-05
elapsed=3.449778e+01 cycle=1000 time=4.308597e-02 dt=4.313876e-05
elapsed=3.786397e+01 cycle=1100 time=4.738891e-02 dt=4.300600e-05
elapsed=4.134386e+01 cycle=1200 time=5.168074e-02 dt=4.300791e-05
elapsed=4.470454e+01 cycle=1300 time=5.597795e-02 dt=4.291120e-05
elapsed=4.818237e+01 cycle=1400 time=6.026552e-02 dt=4.288661e-05
elapsed=5.154279e+01 cycle=1500 time=6.455560e-02 dt=4.290525e-05
elapsed=5.490376e+01 cycle=1600 time=6.883792e-02 dt=4.271074e-05
elapsed=5.839339e+01 cycle=1700 time=7.310556e-02 dt=4.261383e-05
elapsed=6.177115e+01 cycle=1800 time=7.736070e-02 dt=4.246189e-05
elapsed=6.525969e+01 cycle=1900 time=8.159576e-02 dt=4.229813e-05
elapsed=6.862086e+01 cycle=2000 time=8.581745e-02 dt=4.210146e-05
elapsed=7.209757e+01 cycle=2100 time=9.000922e-02 dt=4.164705e-05
elapsed=7.545826e+01 cycle=2200 time=9.414936e-02 dt=4.115874e-05
elapsed=7.881873e+01 cycle=2300 time=9.823759e-02 dt=4.069187e-05
elapsed=8.229405e+01 cycle=2400 time=1.022899e-01 dt=4.046953e-05
elapsed=8.565186e+01 cycle=2500 time=1.063228e-01 dt=4.024656e-05
elapsed=8.912482e+01 cycle=2600 time=1.103391e-01 dt=4.003570e-05
elapsed=9.248103e+01 cycle=2700 time=1.143352e-01 dt=3.985861e-05
