Authorization required, but no authorization protocol specified
Authorization required, but no authorization protocol specified

Root grid = 4 x 8 x 1 MeshBlocks
Total number of MeshBlocks = 32
Number of logical  levels of refinement = 3 (4 levels total)
Number of physical levels of refinement = 0 (1 levels total)
Number of parallel ranks = 16
  Rank = 0: 2 MeshBlocks, cost = 2
  Rank = 1: 2 MeshBlocks, cost = 2
  Rank = 2: 2 MeshBlocks, cost = 2
  Rank = 3: 2 MeshBlocks, cost = 2
  Rank = 4: 2 MeshBlocks, cost = 2
  Rank = 5: 2 MeshBlocks, cost = 2
  Rank = 6: 2 MeshBlocks, cost = 2
  Rank = 7: 2 MeshBlocks, cost = 2
  Rank = 8: 2 MeshBlocks, cost = 2
  Rank = 9: 2 MeshBlocks, cost = 2
  Rank = 10: 2 MeshBlocks, cost = 2
  Rank = 11: 2 MeshBlocks, cost = 2
  Rank = 12: 2 MeshBlocks, cost = 2
  Rank = 13: 2 MeshBlocks, cost = 2
  Rank = 14: 2 MeshBlocks, cost = 2
  Rank = 15: 2 MeshBlocks, cost = 2
Load Balancing:
  Maximum normalized cost = 1, Average = 1

Setup complete, executing task list(s)...

elapsed=5.893907e-02 cycle=0 time=0.000000e+00 dt=4.325644e-05
elapsed=5.786488e+00 cycle=100 time=4.322337e-03 dt=4.323057e-05
elapsed=1.152603e+01 cycle=200 time=8.646466e-03 dt=4.324756e-05
elapsed=1.721625e+01 cycle=300 time=1.297147e-02 dt=4.325158e-05
elapsed=2.288591e+01 cycle=400 time=1.729672e-02 dt=4.325330e-05
elapsed=2.903607e+01 cycle=500 time=2.162210e-02 dt=4.325442e-05
elapsed=3.622294e+01 cycle=600 time=2.594490e-02 dt=4.316275e-05
elapsed=4.195769e+01 cycle=700 time=3.025900e-02 dt=4.311827e-05
elapsed=4.761617e+01 cycle=800 time=3.457086e-02 dt=4.308305e-05
elapsed=5.326399e+01 cycle=900 time=3.887454e-02 dt=4.301557e-05
elapsed=5.892903e+01 cycle=1000 time=4.317535e-02 dt=4.300907e-05
elapsed=6.457446e+01 cycle=1100 time=4.747376e-02 dt=4.292740e-05
elapsed=7.192898e+01 cycle=1200 time=5.175523e-02 dt=4.269973e-05
elapsed=7.809270e+01 cycle=1300 time=5.601618e-02 dt=4.250035e-05
elapsed=8.376371e+01 cycle=1400 time=6.025368e-02 dt=4.222559e-05
elapsed=8.941756e+01 cycle=1500 time=6.444843e-02 dt=4.165163e-05
elapsed=9.507037e+01 cycle=1600 time=6.860484e-02 dt=4.145817e-05
elapsed=1.007475e+02 cycle=1700 time=7.273683e-02 dt=4.113549e-05
elapsed=1.076295e+02 cycle=1800 time=7.686279e-02 dt=4.126873e-05
elapsed=1.142766e+02 cycle=1900 time=8.098756e-02 dt=4.106339e-05
elapsed=1.199280e+02 cycle=2000 time=8.508722e-02 dt=4.093360e-05
elapsed=1.255813e+02 cycle=2100 time=8.917786e-02 dt=4.082684e-05
elapsed=1.312551e+02 cycle=2200 time=9.326582e-02 dt=4.086646e-05
elapsed=1.369083e+02 cycle=2300 time=9.735766e-02 dt=4.094295e-05
elapsed=1.433578e+02 cycle=2400 time=1.014398e-01 dt=4.080018e-05
elapsed=1.504439e+02 cycle=2500 time=1.055154e-01 dt=4.066408e-05
elapsed=1.560992e+02 cycle=2600 time=1.095791e-01 dt=4.061528e-05
elapsed=1.617742e+02 cycle=2700 time=1.136370e-01 dt=4.048101e-05
elapsed=1.674302e+02 cycle=2800 time=1.176827e-01 dt=4.034153e-05
elapsed=1.731063e+02 cycle=2900 time=1.217060e-01 dt=4.017522e-05
elapsed=1.787709e+02 cycle=3000 time=1.257243e-01 dt=4.013573e-05
elapsed=1.861393e+02 cycle=3100 time=1.297172e-01 dt=3.955273e-05
elapsed=1.923187e+02 cycle=3200 time=1.336454e-01 dt=3.906617e-05
elapsed=1.979842e+02 cycle=3300 time=1.374637e-01 dt=3.761624e-05
elapsed=2.036746e+02 cycle=3400 time=1.412262e-01 dt=3.782417e-05
elapsed=2.093418e+02 cycle=3500 time=1.450677e-01 dt=3.835259e-05
elapsed=2.150118e+02 cycle=3600 time=1.489183e-01 dt=3.872839e-05
elapsed=2.216595e+02 cycle=3700 time=1.527993e-01 dt=3.894604e-05
elapsed=2.285776e+02 cycle=3800 time=1.567045e-01 dt=3.912800e-05
elapsed=2.342700e+02 cycle=3900 time=1.606186e-01 dt=3.907985e-05
elapsed=2.399360e+02 cycle=4000 time=1.645407e-01 dt=3.916055e-05
elapsed=2.455996e+02 cycle=4100 time=1.684469e-01 dt=3.910969e-05
elapsed=2.512855e+02 cycle=4200 time=1.723517e-01 dt=3.896262e-05
elapsed=2.574700e+02 cycle=4300 time=1.762342e-01 dt=3.866472e-05
elapsed=2.648359e+02 cycle=4400 time=1.800795e-01 dt=3.819589e-05
elapsed=2.705073e+02 cycle=4500 time=1.839040e-01 dt=3.819186e-05
elapsed=2.761686e+02 cycle=4600 time=1.877306e-01 dt=3.840600e-05
elapsed=2.818486e+02 cycle=4700 time=1.915718e-01 dt=3.856293e-05
elapsed=2.875067e+02 cycle=4800 time=1.954337e-01 dt=3.877803e-05
elapsed=2.935563e+02 cycle=4900 time=1.993147e-01 dt=3.873505e-05
elapsed=3.009347e+02 cycle=5000 time=2.031700e-01 dt=3.827334e-05
elapsed=3.067197e+02 cycle=5100 time=2.069884e-01 dt=3.789812e-05
elapsed=3.124107e+02 cycle=5200 time=2.107605e-01 dt=3.750716e-05
elapsed=3.180807e+02 cycle=5300 time=2.144751e-01 dt=3.683704e-05
elapsed=3.237511e+02 cycle=5400 time=2.181647e-01 dt=3.695649e-05
elapsed=3.294419e+02 cycle=5500 time=2.218646e-01 dt=3.618797e-05
elapsed=3.367496e+02 cycle=5600 time=2.255555e-01 dt=3.744039e-05
elapsed=3.429594e+02 cycle=5700 time=2.292729e-01 dt=3.699872e-05
elapsed=3.486424e+02 cycle=5800 time=2.329560e-01 dt=3.665579e-05
elapsed=3.543035e+02 cycle=5900 time=2.366375e-01 dt=3.696137e-05
elapsed=3.599848e+02 cycle=6000 time=2.403479e-01 dt=3.723828e-05
elapsed=3.656439e+02 cycle=6100 time=2.440686e-01 dt=3.711339e-05
elapsed=3.721746e+02 cycle=6200 time=2.477679e-01 dt=3.684021e-05
elapsed=3.791239e+02 cycle=6300 time=2.514455e-01 dt=3.673640e-05
elapsed=3.846883e+02 cycle=6400 time=2.549535e-01 dt=3.515739e-05
elapsed=3.902023e+02 cycle=6500 time=2.586487e-01 dt=3.732988e-05
elapsed=3.956754e+02 cycle=6600 time=2.623906e-01 dt=3.758569e-05
elapsed=4.010645e+02 cycle=6700 time=2.661589e-01 dt=3.777588e-05
elapsed=4.071145e+02 cycle=6800 time=2.699380e-01 dt=3.777524e-05
elapsed=4.138336e+02 cycle=6900 time=2.737100e-01 dt=3.778271e-05
elapsed=4.189992e+02 cycle=7000 time=2.774653e-01 dt=3.674845e-05
elapsed=4.241070e+02 cycle=7100 time=2.811633e-01 dt=3.727642e-05
elapsed=4.291166e+02 cycle=7200 time=2.849949e-01 dt=3.878598e-05
