Authorization required, but no authorization protocol specified
Authorization required, but no authorization protocol specified

Root grid = 4 x 4 x 1 MeshBlocks
Total number of MeshBlocks = 16
Number of logical  levels of refinement = 2 (3 levels total)
Number of physical levels of refinement = 0 (1 levels total)
Number of parallel ranks = 16
  Rank = 0: 1 MeshBlocks, cost = 1
  Rank = 1: 1 MeshBlocks, cost = 1
  Rank = 2: 1 MeshBlocks, cost = 1
  Rank = 3: 1 MeshBlocks, cost = 1
  Rank = 4: 1 MeshBlocks, cost = 1
  Rank = 5: 1 MeshBlocks, cost = 1
  Rank = 6: 1 MeshBlocks, cost = 1
  Rank = 7: 1 MeshBlocks, cost = 1
  Rank = 8: 1 MeshBlocks, cost = 1
  Rank = 9: 1 MeshBlocks, cost = 1
  Rank = 10: 1 MeshBlocks, cost = 1
  Rank = 11: 1 MeshBlocks, cost = 1
  Rank = 12: 1 MeshBlocks, cost = 1
  Rank = 13: 1 MeshBlocks, cost = 1
  Rank = 14: 1 MeshBlocks, cost = 1
  Rank = 15: 1 MeshBlocks, cost = 1
Load Balancing:
  Maximum normalized cost = 1, Average = 1

Setup complete, executing task list(s)...

elapsed=9.743207e-03 cycle=0 time=0.000000e+00 dt=1.730258e-04
elapsed=2.392372e-01 cycle=100 time=1.729372e-02 dt=1.726375e-04
elapsed=4.711129e-01 cycle=200 time=3.453112e-02 dt=1.722166e-04
elapsed=7.000866e-01 cycle=300 time=5.175277e-02 dt=1.721638e-04
elapsed=9.256827e-01 cycle=400 time=6.896323e-02 dt=1.720197e-04
elapsed=1.154601e+00 cycle=500 time=8.616084e-02 dt=1.719955e-04
elapsed=1.380372e+00 cycle=600 time=1.033654e-01 dt=1.720106e-04
elapsed=1.591892e+00 cycle=700 time=1.205564e-01 dt=1.719180e-04
elapsed=1.787234e+00 cycle=800 time=1.376948e-01 dt=1.702120e-04
elapsed=1.981448e+00 cycle=900 time=1.547452e-01 dt=1.707434e-04
elapsed=2.167625e+00 cycle=1000 time=1.718402e-01 dt=1.710958e-04
elapsed=2.345243e+00 cycle=1100 time=1.889485e-01 dt=1.708338e-04
elapsed=2.525831e+00 cycle=1200 time=2.060047e-01 dt=1.703869e-04
elapsed=2.709300e+00 cycle=1300 time=2.229882e-01 dt=1.692147e-04
elapsed=2.890403e+00 cycle=1400 time=2.399137e-01 dt=1.689483e-04
elapsed=3.072586e+00 cycle=1500 time=2.567592e-01 dt=1.680562e-04
elapsed=3.253408e+00 cycle=1600 time=2.735787e-01 dt=1.678624e-04
elapsed=3.464470e+00 cycle=1700 time=2.902848e-01 dt=1.665272e-04
elapsed=3.671660e+00 cycle=1800 time=3.069074e-01 dt=1.658107e-04
elapsed=3.882736e+00 cycle=1900 time=3.234627e-01 dt=1.650483e-04
elapsed=4.093184e+00 cycle=2000 time=3.399551e-01 dt=1.644243e-04
elapsed=4.590299e+00 cycle=2100 time=3.563943e-01 dt=1.645300e-04
elapsed=5.040517e+00 cycle=2200 time=3.728517e-01 dt=1.642273e-04
elapsed=5.286894e+00 cycle=2300 time=3.892487e-01 dt=1.637798e-04
elapsed=5.510777e+00 cycle=2400 time=4.056575e-01 dt=1.646226e-04
elapsed=5.730630e+00 cycle=2500 time=4.221162e-01 dt=1.651933e-04
elapsed=5.945149e+00 cycle=2600 time=4.385976e-01 dt=1.645600e-04
elapsed=6.163856e+00 cycle=2700 time=4.550637e-01 dt=1.645948e-04
elapsed=6.382259e+00 cycle=2800 time=4.715299e-01 dt=1.645214e-04
elapsed=6.599698e+00 cycle=2900 time=4.879670e-01 dt=1.650069e-04
elapsed=6.820197e+00 cycle=3000 time=5.045168e-01 dt=1.656353e-04
elapsed=7.039923e+00 cycle=3100 time=5.210364e-01 dt=1.648744e-04
elapsed=7.257222e+00 cycle=3200 time=5.375327e-01 dt=1.650964e-04
elapsed=7.476150e+00 cycle=3300 time=5.540588e-01 dt=1.657460e-04
elapsed=7.694872e+00 cycle=3400 time=5.706381e-01 dt=1.659043e-04
elapsed=7.910820e+00 cycle=3500 time=5.872315e-01 dt=1.655488e-04
elapsed=8.132122e+00 cycle=3600 time=6.037414e-01 dt=1.646655e-04
elapsed=8.354297e+00 cycle=3700 time=6.201939e-01 dt=1.639723e-04
elapsed=8.578149e+00 cycle=3800 time=6.365919e-01 dt=1.637002e-04
elapsed=8.806320e+00 cycle=3900 time=6.529293e-01 dt=1.631512e-04
elapsed=9.034837e+00 cycle=4000 time=6.692342e-01 dt=1.629295e-04
elapsed=9.268639e+00 cycle=4100 time=6.854945e-01 dt=1.622594e-04
elapsed=9.506340e+00 cycle=4200 time=7.017528e-01 dt=1.628787e-04
elapsed=9.743021e+00 cycle=4300 time=7.180073e-01 dt=1.620076e-04
