Authorization required, but no authorization protocol specified
Authorization required, but no authorization protocol specified
Authorization required, but no authorization protocol specified

Root grid = 1 x 1 x 1 MeshBlocks
Total number of MeshBlocks = 1
Number of logical  levels of refinement = 0 (1 levels total)
Number of physical levels of refinement = 0 (1 levels total)
Number of parallel ranks = 1

Setup complete, executing task list(s)...

elapsed=7.116289e-03 cycle=0 time=0.000000e+00 dt=1.384206e-03
elapsed=4.049484e-02 cycle=100 time=1.383523e-01 dt=1.385218e-03
elapsed=6.550033e-02 cycle=200 time=2.769512e-01 dt=1.387540e-03
elapsed=9.077062e-02 cycle=300 time=4.158119e-01 dt=1.390029e-03
elapsed=1.159786e-01 cycle=400 time=5.549223e-01 dt=1.392064e-03
elapsed=1.411257e-01 cycle=500 time=6.941928e-01 dt=1.393268e-03
elapsed=1.659776e-01 cycle=600 time=8.335668e-01 dt=1.394180e-03
elapsed=1.903680e-01 cycle=700 time=9.729960e-01 dt=1.394142e-03
elapsed=2.143498e-01 cycle=800 time=1.112036e+00 dt=1.388217e-03
elapsed=2.383184e-01 cycle=900 time=1.249108e+00 dt=1.366429e-03
elapsed=2.623082e-01 cycle=1000 time=1.387144e+00 dt=1.378874e-03
elapsed=2.861104e-01 cycle=1100 time=1.523448e+00 dt=1.349412e-03
elapsed=3.102614e-01 cycle=1200 time=1.658210e+00 dt=1.332054e-03
elapsed=3.346119e-01 cycle=1300 time=1.791669e+00 dt=1.337584e-03
elapsed=3.591464e-01 cycle=1400 time=1.927221e+00 dt=1.365634e-03
elapsed=3.838341e-01 cycle=1500 time=2.064345e+00 dt=1.369525e-03
elapsed=4.080964e-01 cycle=1600 time=2.198316e+00 dt=1.317869e-03
elapsed=4.324345e-01 cycle=1700 time=2.331733e+00 dt=1.342127e-03
elapsed=4.565602e-01 cycle=1800 time=2.464509e+00 dt=1.320993e-03
elapsed=4.808881e-01 cycle=1900 time=2.596442e+00 dt=1.318185e-03
elapsed=5.047773e-01 cycle=2000 time=2.725849e+00 dt=1.281600e-03
elapsed=5.291302e-01 cycle=2100 time=2.858051e+00 dt=1.322468e-03
elapsed=5.536058e-01 cycle=2200 time=2.987989e+00 dt=1.274868e-03
elapsed=5.784575e-01 cycle=2300 time=3.116250e+00 dt=1.291591e-03
elapsed=6.035543e-01 cycle=2400 time=3.242652e+00 dt=1.263050e-03
elapsed=6.286428e-01 cycle=2500 time=3.368686e+00 dt=1.222640e-03
elapsed=6.533290e-01 cycle=2600 time=3.492276e+00 dt=1.266257e-03
