
Root grid = 1 x 1 x 1 MeshBlocks
Total number of MeshBlocks = 1
Number of logical  levels of refinement = 0 (1 levels total)
Number of physical levels of refinement = 0 (1 levels total)
Number of parallel ranks = 1

Setup complete, executing task list(s)...

elapsed=2.072199e-03 cycle=0 time=0.000000e+00 dt=1.384206e-03
elapsed=1.658888e+00 cycle=5 time=6.919981e-03 dt=1.383376e-03
elapsed=2.005134e+00 cycle=10 time=1.383297e-02 dt=1.381929e-03
elapsed=2.360670e+00 cycle=15 time=2.074343e-02 dt=1.382455e-03
elapsed=2.712154e+00 cycle=20 time=2.765722e-02 dt=1.383131e-03
elapsed=3.057419e+00 cycle=25 time=3.457427e-02 dt=1.383856e-03
elapsed=3.410989e+00 cycle=30 time=4.149431e-02 dt=1.384082e-03
elapsed=3.762249e+00 cycle=35 time=4.841439e-02 dt=1.383893e-03
elapsed=4.112030e+00 cycle=40 time=5.533384e-02 dt=1.383947e-03
elapsed=4.467811e+00 cycle=45 time=6.225422e-02 dt=1.384208e-03
elapsed=4.816596e+00 cycle=50 time=6.917530e-02 dt=1.384240e-03
elapsed=5.169545e+00 cycle=55 time=7.609655e-02 dt=1.384249e-03
elapsed=5.512275e+00 cycle=60 time=8.301780e-02 dt=1.384238e-03
elapsed=5.866032e+00 cycle=65 time=8.993893e-02 dt=1.384223e-03
elapsed=6.214570e+00 cycle=70 time=9.686006e-02 dt=1.384189e-03
elapsed=6.564824e+00 cycle=75 time=1.037810e-01 dt=1.384205e-03
elapsed=6.912787e+00 cycle=80 time=1.107020e-01 dt=1.384194e-03
elapsed=7.258363e+00 cycle=85 time=1.176230e-01 dt=1.384198e-03
elapsed=7.604205e+00 cycle=90 time=1.245439e-01 dt=1.384167e-03
elapsed=7.955828e+00 cycle=95 time=1.314648e-01 dt=1.384197e-03
elapsed=8.309939e+00 cycle=100 time=1.383858e-01 dt=1.384167e-03
elapsed=8.663965e+00 cycle=105 time=1.453065e-01 dt=1.384115e-03
elapsed=9.013679e+00 cycle=110 time=1.522269e-01 dt=1.384014e-03
elapsed=9.361945e+00 cycle=115 time=1.591467e-01 dt=1.383888e-03
elapsed=9.713655e+00 cycle=120 time=1.660660e-01 dt=1.383808e-03
elapsed=1.006794e+01 cycle=125 time=1.729849e-01 dt=1.383717e-03
elapsed=1.041642e+01 cycle=130 time=1.799033e-01 dt=1.383653e-03
elapsed=1.078089e+01 cycle=135 time=1.868215e-01 dt=1.383624e-03
elapsed=1.112869e+01 cycle=140 time=1.937396e-01 dt=1.383614e-03
elapsed=1.148359e+01 cycle=145 time=2.006576e-01 dt=1.383581e-03
elapsed=1.183647e+01 cycle=150 time=2.075754e-01 dt=1.383553e-03
elapsed=1.218846e+01 cycle=155 time=2.144932e-01 dt=1.383558e-03
elapsed=1.254744e+01 cycle=160 time=2.214111e-01 dt=1.383593e-03
elapsed=1.290255e+01 cycle=165 time=2.283291e-01 dt=1.383645e-03
elapsed=1.325424e+01 cycle=170 time=2.352478e-01 dt=1.383736e-03
elapsed=1.360073e+01 cycle=175 time=2.421663e-01 dt=1.383676e-03
elapsed=1.395508e+01 cycle=180 time=2.490847e-01 dt=1.383702e-03
elapsed=1.430931e+01 cycle=185 time=2.560032e-01 dt=1.383714e-03
elapsed=1.467265e+01 cycle=190 time=2.629218e-01 dt=1.383727e-03
elapsed=1.502888e+01 cycle=195 time=2.698407e-01 dt=1.383946e-03
elapsed=1.538668e+01 cycle=200 time=2.767609e-01 dt=1.384127e-03
elapsed=1.574454e+01 cycle=205 time=2.836816e-01 dt=1.384178e-03
elapsed=1.610145e+01 cycle=210 time=2.906026e-01 dt=1.384202e-03
elapsed=1.646157e+01 cycle=215 time=2.975236e-01 dt=1.384193e-03
elapsed=1.682869e+01 cycle=220 time=3.044445e-01 dt=1.384192e-03
elapsed=1.718609e+01 cycle=225 time=3.113655e-01 dt=1.384186e-03
elapsed=1.754548e+01 cycle=230 time=3.182864e-01 dt=1.384191e-03
elapsed=1.790489e+01 cycle=235 time=3.252074e-01 dt=1.384208e-03
elapsed=1.826138e+01 cycle=240 time=3.321285e-01 dt=1.384220e-03
elapsed=1.861844e+01 cycle=245 time=3.390496e-01 dt=1.384221e-03
elapsed=1.898090e+01 cycle=250 time=3.459707e-01 dt=1.384219e-03
elapsed=1.933590e+01 cycle=255 time=3.528918e-01 dt=1.384220e-03
elapsed=1.969181e+01 cycle=260 time=3.598129e-01 dt=1.384215e-03
elapsed=2.005164e+01 cycle=265 time=3.667339e-01 dt=1.384202e-03
elapsed=2.040875e+01 cycle=270 time=3.736549e-01 dt=1.384200e-03
elapsed=2.077257e+01 cycle=275 time=3.805759e-01 dt=1.384180e-03
elapsed=2.112872e+01 cycle=280 time=3.874967e-01 dt=1.384129e-03
elapsed=2.148419e+01 cycle=285 time=3.944172e-01 dt=1.384074e-03
elapsed=2.183657e+01 cycle=290 time=4.013375e-01 dt=1.384030e-03
elapsed=2.218976e+01 cycle=295 time=4.082576e-01 dt=1.383982e-03
elapsed=2.254111e+01 cycle=300 time=4.151774e-01 dt=1.383940e-03
elapsed=2.289934e+01 cycle=305 time=4.220970e-01 dt=1.383917e-03
elapsed=2.325165e+01 cycle=310 time=4.290166e-01 dt=1.383919e-03
elapsed=2.360913e+01 cycle=315 time=4.359362e-01 dt=1.383916e-03
elapsed=2.396201e+01 cycle=320 time=4.428558e-01 dt=1.383909e-03
elapsed=2.430518e+01 cycle=325 time=4.497753e-01 dt=1.383891e-03
elapsed=2.465627e+01 cycle=330 time=4.566947e-01 dt=1.383850e-03
elapsed=2.520480e+01 cycle=335 time=4.636138e-01 dt=1.383814e-03
elapsed=2.558819e+01 cycle=340 time=4.705329e-01 dt=1.383820e-03
elapsed=2.594195e+01 cycle=345 time=4.774521e-01 dt=1.383854e-03
elapsed=2.629663e+01 cycle=350 time=4.843714e-01 dt=1.383887e-03
elapsed=2.664684e+01 cycle=355 time=4.912909e-01 dt=1.383915e-03
elapsed=2.699719e+01 cycle=360 time=4.982105e-01 dt=1.383932e-03
elapsed=2.734676e+01 cycle=365 time=5.051302e-01 dt=1.383932e-03
elapsed=2.770112e+01 cycle=370 time=5.120499e-01 dt=1.383953e-03
elapsed=2.805560e+01 cycle=375 time=5.189697e-01 dt=1.383984e-03
elapsed=2.840711e+01 cycle=380 time=5.258897e-01 dt=1.384004e-03
elapsed=2.875749e+01 cycle=385 time=5.328098e-01 dt=1.384048e-03
elapsed=2.911252e+01 cycle=390 time=5.397301e-01 dt=1.384063e-03
elapsed=2.946181e+01 cycle=395 time=5.466504e-01 dt=1.384066e-03
elapsed=2.981900e+01 cycle=400 time=5.535707e-01 dt=1.384073e-03
elapsed=3.017696e+01 cycle=405 time=5.604911e-01 dt=1.384094e-03
elapsed=3.053458e+01 cycle=410 time=5.674117e-01 dt=1.384126e-03
elapsed=3.089968e+01 cycle=415 time=5.743323e-01 dt=1.384155e-03
elapsed=3.129902e+01 cycle=420 time=5.812532e-01 dt=1.384188e-03
elapsed=3.164484e+01 cycle=425 time=5.881742e-01 dt=1.384187e-03
elapsed=3.199437e+01 cycle=430 time=5.950951e-01 dt=1.384172e-03
elapsed=3.234181e+01 cycle=435 time=6.020160e-01 dt=1.384204e-03
elapsed=3.268082e+01 cycle=440 time=6.089369e-01 dt=1.384138e-03
elapsed=3.303457e+01 cycle=445 time=6.158575e-01 dt=1.384123e-03
elapsed=3.339017e+01 cycle=450 time=6.227781e-01 dt=1.384125e-03
elapsed=3.374673e+01 cycle=455 time=6.296988e-01 dt=1.384148e-03
elapsed=3.410280e+01 cycle=460 time=6.366196e-01 dt=1.384204e-03
elapsed=3.445385e+01 cycle=465 time=6.435406e-01 dt=1.384192e-03
elapsed=3.481074e+01 cycle=470 time=6.504616e-01 dt=1.384188e-03
